,name,skin_tone,gender,age,cluster
0,train/TRAIN0002.png,monk_6,male,0_17,1
3,train/TRAIN0012.png,monk_4,male,31_60,3
5,train/TRAIN0020.png,monk_9,male,31_60,2
7,train/TRAIN0025.png,monk_5,male,0_17,1
8,train/TRAIN0026.png,monk_2,male,61_100,1
9,train/TRAIN0027.png,monk_5,male,31_60,1
10,train/TRAIN0030.png,monk_3,male,31_60,1
11,train/TRAIN0040.png,monk_9,male,18_30,1
12,train/TRAIN0048.png,monk_9,male,31_60,1
13,train/TRAIN0049.png,monk_3,male,18_30,2
14,train/TRAIN0052.png,monk_2,male,0_17,7
15,train/TRAIN0053.png,monk_4,male,0_17,2
18,train/TRAIN0066.png,monk_10,male,31_60,2
19,train/TRAIN0071.png,monk_4,male,0_17,8
23,train/TRAIN0084.png,monk_7,male,31_60,3
24,train/TRAIN0086.png,monk_4,male,0_17,7
25,train/TRAIN0091.png,monk_7,male,31_60,2
26,train/TRAIN0100.png,monk_3,male,31_60,1
28,train/TRAIN0109.png,monk_5,male,18_30,0
29,train/TRAIN0113.png,monk_8,male,31_60,3
30,train/TRAIN0114.png,monk_3,male,0_17,1
31,train/TRAIN0115.png,monk_3,male,0_17,6
33,train/TRAIN0122.png,monk_5,male,0_17,1
36,train/TRAIN0128.png,monk_5,male,18_30,2
37,train/TRAIN0136.png,monk_5,male,18_30,8
38,train/TRAIN0138.png,monk_6,male,18_30,2
40,train/TRAIN0146.png,monk_7,male,18_30,2
42,train/TRAIN0151.png,monk_7,male,18_30,1
43,train/TRAIN0152.png,monk_4,male,31_60,3
44,train/TRAIN0160.png,monk_3,male,61_100,3
46,train/TRAIN0171.png,monk_7,male,31_60,2
47,train/TRAIN0172.png,monk_3,male,18_30,9
48,train/TRAIN0174.png,monk_6,male,0_17,1
49,train/TRAIN0178.png,monk_3,male,31_60,3
50,train/TRAIN0182.png,monk_3,male,18_30,3
51,train/TRAIN0194.png,monk_3,male,18_30,2
52,train/TRAIN0196.png,monk_5,male,18_30,1
53,train/TRAIN0198.png,monk_9,male,0_17,2
54,train/TRAIN0201.png,monk_5,male,31_60,2
55,train/TRAIN0203.png,monk_5,male,18_30,2
56,train/TRAIN0204.png,monk_4,male,18_30,1
58,train/TRAIN0208.png,monk_3,male,18_30,1
59,train/TRAIN0209.png,monk_6,male,31_60,1
61,train/TRAIN0219.png,monk_2,male,31_60,2
62,train/TRAIN0220.png,monk_9,male,0_17,1
64,train/TRAIN0241.png,monk_6,male,31_60,2
65,train/TRAIN0244.png,monk_3,male,61_100,1
67,train/TRAIN0250.png,monk_4,male,18_30,1
69,train/TRAIN0256.png,monk_8,male,0_17,6
70,train/TRAIN0257.png,monk_4,male,0_17,1
72,train/TRAIN0261.png,monk_2,male,31_60,1
73,train/TRAIN0268.png,monk_8,male,31_60,2
76,train/TRAIN0272.png,monk_4,male,0_17,7
77,train/TRAIN0273.png,monk_5,male,18_30,1
78,train/TRAIN0275.png,monk_4,male,31_60,1
79,train/TRAIN0279.png,monk_6,male,18_30,1
82,train/TRAIN0296.png,monk_9,male,0_17,6
83,train/TRAIN0307.png,monk_9,male,31_60,6
84,train/TRAIN0313.png,monk_6,male,0_17,2
85,train/TRAIN0314.png,monk_10,male,31_60,1
86,train/TRAIN0319.png,monk_3,male,0_17,1
87,train/TRAIN0320.png,monk_4,male,18_30,6
88,train/TRAIN0322.png,monk_3,male,31_60,3
89,train/TRAIN0326.png,monk_4,male,0_17,7
90,train/TRAIN0327.png,monk_6,male,31_60,2
91,train/TRAIN0328.png,monk_1,male,18_30,2
93,train/TRAIN0336.png,monk_5,male,18_30,6
96,train/TRAIN0347.png,monk_5,male,31_60,0
97,train/TRAIN0348.png,monk_8,male,31_60,1
98,train/TRAIN0351.png,monk_6,male,61_100,6
99,train/TRAIN0355.png,monk_7,male,31_60,0
100,train/TRAIN0358.png,monk_7,male,18_30,2
102,train/TRAIN0369.png,monk_2,male,18_30,1
103,train/TRAIN0370.png,monk_6,male,0_17,7
105,train/TRAIN0378.png,monk_7,male,31_60,2
106,train/TRAIN0386.png,monk_10,male,18_30,2
108,train/TRAIN0400.png,monk_1,male,18_30,6
109,train/TRAIN0402.png,monk_7,male,0_17,1
110,train/TRAIN0403.png,monk_10,male,18_30,6
111,train/TRAIN0405.png,monk_8,male,18_30,3
114,train/TRAIN0420.png,monk_8,male,31_60,1
115,train/TRAIN0421.png,monk_3,male,31_60,1
116,train/TRAIN0422.png,monk_5,male,18_30,6
